,OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1,StartYear,Postcode
218,138679,84/04661/F,300 Wells RoadBristolBS4 2QG,Change of use to Estate Agents.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,138679,84,BS4 2QG
238,139666,84/04585/P,Wellgarth CourtWellgarth RoadBristolBS4 2SE,14 elderly persons flats.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,139666,84,BS4 2SE
249,139829,84/04620/A,Tesco Stores LtdCallington RoadBristolBS4 5AY,(1) Internally illuminated canopy sign. (2) 2 no. internally illuminated freestanding signs.  (3) Internally illuminated kiosk sign.  (4) 3 no. internally illiminated shop signs.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,139829,84,BS4 5AY
271,140062,84/04337/F,19 Langhill AvenueBristolBS4 1TL,Single storey rear kitchen and bathroom extension and toilet.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,140062,84,BS4 1TL
282,140451,84/04200/H,13 Lucas CloseBristolBS4 5DG,Bathroom extension at 1st floor level.,GRANTED,GRANTED,,0,0,140451,84,BS4 5DG
297,140637,84/04497/H,6 Green WalkBristolBS4 2SY,Single storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,140637,84,BS4 2SY
319,140667,84/03997/H,55 Allison RoadBristolBS4 4PW,"Existing store, small extension.Install W.C.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,140667,84,BS4 4PW
321,140669,84/03998/H,63 Somerset RoadBristolBS4 2HX,Demolition and rebuilding of single storey rear extension.,GRANTED,GRANTED,,0,0,140669,84,BS4 2HX
326,140827,84/02395/H,16 Ryde RoadBristolBS4 2ES,Single storey garage at side of exisitng building.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,140827,84,BS4 2ES
350,140979,84/01242/H,18 Queensdale CrescentBristolBS4 2TN,Two storey side kitchen and bedroom extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,140979,84,BS4 2TN
362,141016,84/02065/H,48 Queensdale CrescentBristolBS4 2TR,Single storey side kitchen extension and front porch.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141016,84,BS4 2TR
366,141040,84/02802/A,6 Filwood BroadwayBristolBS4 1JN,Non-illuminated fascia sign.,GRANTED,GRANTED,,0,0,141040,84,BS4 1JN
373,141130,84/03847/F,339 - 341 Wells RoadBristolBS4 2QB,Install new shopfront.,GRANTED,GRANTED,,0,0,141130,84,BS4 2QB
410,141336,84/04080/H,10 Savoy RoadBristolBS4 3SX,Garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141336,84,BS4 3SX
430,141429,84/02454/H,20 Lilymead AvenueBristolBS4 2BX,Single storey rear lounge extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141429,84,BS4 2BX
432,141445,84/02982/F,89 Broomhill RoadBristolBS4 4SB,Change of use of ground floor of the premises from betting shop to estate agency.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141445,84,BS4 4SB
434,141448,84/02862/H,45 Lisburn RoadBristolBS4 1NF,Garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141448,84,BS4 1NF
441,141480,84/02359/H,20 Cuffington AvenueBristolBS4 3QY,Single storey rear extension to kitchen/dining room.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141480,84,BS4 3QY
460,141619,84/01321/P,40 Talbot RoadBristolBS4 2NW,Single storey rear kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141619,84,BS4 2NW
462,141623,84/01206/H,7 Ironmould LaneBristolBS4 4TZ,2 storey side extension comprising dining room and bedroom.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141623,84,BS4 4TZ
465,141637,84/02381/H,24 Edna AvenueBristolBS4 4LA,Single storey lounge extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141637,84,BS4 4LA
470,141643,84/02647/H,,Single storey rear kitchen extension; new roof to existing garage and extended porch roof.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,141643,84,
471,141674,84/02817/A,39 Brislington HillBristolBS4 5BE,Two non-illuminated fascia signs.,GRANTED,GRANTED,,0,0,141674,84,BS4 5BE
514,141841,84/02555H,59 St Martins RoadBristolBS4 2NH,Replace existing unsound rear boundary wall and fence with concrete block and stone wall to same height (from 6' to 10' above path).,GRANTED,GRANTED,,0,0,141841,84,BS4 2NH
578,142091,84/02894/F,79 Sandy Park RoadBristolBS4 3PQ,Installation of new shop door windows and blinds.,GRANTED,GRANTED,,0,0,142091,84,BS4 3PQ
582,142121,84/03491/H,,Garage extension onto existing kitchen.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142121,84,
583,142122,84/03495/H,71 Downton RoadBristolBS4 1PZ,Two storey extension and repositioned garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142122,84,BS4 1PZ
598,142236,84/00966/H,7 Green WalkBristolBS4 2SY,Porch and side extension/greenhouse.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142236,84,BS4 2SY
607,142252,84/02915/P,12 Broadfield RoadBristolBS4 2UQ,Conversion of existing house for 6 flats (4 for elderly) and erection of 9 new flats for the elderly.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142252,84,BS4 2UQ
613,142292,84/02785/H,88 Queensdale CrescentBristolBS4 2TS,Front porch extension.,GRANTED,GRANTED,,0,0,142292,84,BS4 2TS
621,142327,84/03811/P,Land To The Rear Of 31-45Barnstaple RoadBristolBS4 1JP,Erection of single storey prefabricated admin offices for M.S.C job opportunity scheme and resiting of elderly persons day centre appoved by application no. 0792/84S.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142327,84,BS4 1JP
677,142532,84/03658/F,Knowle Lawn Tennis ClubWells RoadBristolBS4 2QN,Construct Club House.,GRANTED,GRANTED,,0,0,142532,84,BS4 2QN
712,142629,84/02136/H,51 Queensdale CrescentBristolBS4 2TW,Storm porch at front door.,GRANTED,GRANTED,,0,0,142629,84,BS4 2TW
716,142633,84/02175/F,18 Sandy Park RoadBristolBS4 3PE,"Change of use to sale of small live pets i.e. birds, fish, hamsters, dwarf rabbits etc.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142633,84,BS4 3PE
721,142641,84/02476/F,79 Sandy Park RoadBristolBS4 3PQ,Replacement of existing garage (in disrepair) and small covered yard.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142641,84,BS4 3PQ
736,142664,84/03121/F,6 Filwood BroadwayBristolBS4 1JN,Installation of new shopfront.,GRANTED,GRANTED,,0,0,142664,84,BS4 1JN
754,142767,84/00886/P,50 Bristol HillBristolBS4 5AB,"Change of opening hours.  Increase to 11.30 p.m. week days, 12.00 midnight (Saturday/Sunday).  Alteration of Condition No. 1 of application 950P/83S.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142767,84,BS4 5AB
780,142849,84/02417/F,Heath CourtIronmould LaneBristolBS4 5RS,Alterations and extension to barn to form additional restaurant; formation of flat-roofed covered service way between existing kitchen and new restaurant extension and erection of double garage and new septic tank installation.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142849,84,BS4 5RS
794,142873,84/03189/H,207 Wick RoadBristolBS4 4HP,Single storey rear kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142873,84,BS4 4HP
806,142984,84/01027/H,53 Eastwood RoadBrislingtonBristolBS4 4RN,Single storey rear dining room and kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,142984,84,BS4 4RN
842,143071,84/03227/H,6 Hammond CloseBristolBS4 5HY,Additional storey over existing garage and utility room to form bedroom and en-suite bathroom.,GRANTED,GRANTED,,0,0,143071,84,BS4 5HY
856,143117,84/03727/F,H T V WestBath RoadBrislingtonBristolBS4 3HG,"Four-storey extension of existing building to provide offices and associated facilities, further car parking, landscaping, repositioning of main access and minor works to existing building.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143117,84,BS4 3HG
872,143203,84/01957/H,59 Bideford CrescentBristolBS4 1HE,Garages to side of house.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143203,84,BS4 1HE
890,143260,84/02275/H,14 Pendennis ParkBristolBS4 4JN,Single storey kitchen extension and alteration to form bathroom.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143260,84,BS4 4JN
929,143422,84/02052/F,St Peters HospiceSt Agnes AvenueBristolBS4 2DU,"Construction of single storey extension containing wards for fourteen beds together with new kitchen, day rooms and ancillary accommodation and creation of new access from St. Agnes Avenue.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143422,84,BS4 2DU
930,143423,84/02310/F,278 Wells RoadBristolBS4 2PU,Installation of new shopfront and internal fitting.,GRANTED,GRANTED,,0,0,143423,84,BS4 2PU
945,143469,84/02607/H,54 Eastwood RoadBristolBS4 4RW,Proposed garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143469,84,BS4 4RW
958,143566,84/03910/H,57 Throgmorton RoadBristolBS4 1HP,Erection of two storey rear kitchen and bedroom extension and single storey kitchen/study extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143566,84,BS4 1HP
965,143578,84/02070/H,101 Novers LaneBristolBS4 1QR,Erect single storey reinforced concrete sectional detached garage in garden.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143578,84,BS4 1QR
975,143624,84/01922/F,500 Bath RoadBrislingtonBristolBS4 3JY,Use as small Guest House.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143624,84,BS4 3JY
977,143627,84/01938/A,278 Wells RoadBristolBS4 2PU,Non-illuminated fascia sign.,GRANTED,GRANTED,,0,0,143627,84,BS4 2PU
978,143628,84/02630/H,138 Talbot RoadBristolBS4 2NU,Single storey rear kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143628,84,BS4 2NU
983,143643,84/00279/U,543 Bath RoadBrislingtonBristolBS4 3LB,Change of use to old persons residence and rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143643,84,BS4 3LB
986,143661,84/02655/H,16 Cowdray RoadBristolBS4 1SF,Garage attached to side of house by roof giving covered walk way.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143661,84,BS4 1SF
994,143670,84/02678/F,,"Interior shopfitting alteration and an alteration to the shopfront, new fascia and sign.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143670,84,
1008,143775,84/03759/H,1 Stoneleigh CrescentBristolBS4 2RF,Erect single storey detached reinforced concrete sectional garage in rear garden.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143775,84,BS4 2RF
1012,143780,84/03714/M,814-818 Bath RoadBrislingtonBristolBS4 5NG,"New retail DIY premises for the sale of goods in connection with the construction, repair and improvement of the home, garden and car.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143780,84,BS4 5NG
1014,143782,84/01953/F,20a Kensington Park RoadBristolBS4 3HP,Proposed single storey extension to form kitchen and internal alterations.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143782,84,BS4 3HP
1031,143816,84/01211/H,10 Cavan WalkBristolBS4 1PN,Two storey kitchen and bedroom extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143816,84,BS4 1PN
1038,143834,84/02697/F,142 Bath RoadTotterdownBristolBS4 3EF,Use of workshop premises and house for storage purposes and administrative office.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,143834,84,BS4 3EF
1039,143835,84/02699/H,62 Sandholme RoadBristolBS4 3RY,Single storey flat roof extension - kitchen.,GRANTED,GRANTED,,0,0,143835,84,BS4 3RY
1072,144024,84/01164/P,H T V WestBath RoadTotterdownBristolBS4 3HG,Offices and related facilities for Television Production.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,144024,84,BS4 3HG
1102,160786,93/02844/F,15 Broadfield RoadBristolBS4 2UH,Single storey dwelling.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,160786,93,BS4 2UH
1111,163488,09/04693/P,PaintworksBristolBS4 4EH,"Outline application for the retention of Endemol buildings, demolition of other existing buildings and erection of new buildings of 2-7 storeys built on top of new undercroft car park to provide employment floor space (B1); Retail floor space (A1, A3 & A4); up to 11 live/work units; and up to 210 residential units (C3); with revised vehicular access off Bath Road. (Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),-1852865536.0,0,0,163488,09,BS4 4EH
1139,168953,11/04718/F,85 Eastwood RoadBristolBS4 4RR,Replace roof and render elevation to existing property.  Construct a new two bed dwelling adjacent to No. 85 Eastwood Road with parking on the west boundary.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1596094464.0,0,0,168953,11,BS4 4RR
1154,169327,11/04589/A,Knowle Park Post Office29 The SquareKnowleBristolBS4 2SR,Installation of illuminated sign.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1077694464.0,0,0,169327,11,BS4 2SR
1190,169523,11/05005/F,167 Talbot RoadBristolBS4 2NZ,External alterations - new external door openings and widening of main entrance doorway with levelled threshold for wheelchair access.,GRANTED subject to condition(s),GRANTED subject to condition(s),1341505536.0,0,0,169523,11,BS4 2NZ
1191,169524,11/05006/LA,167 Talbot RoadBristolBS4 2NZ,Internal alterations  with removal of existing wall between former ground floor kitchen/dining room and new opening between ground floor hall/stairwell. External alterations - new external door openings and widening of main entrance doorway with levelled threshold for wheelchair access.,GRANTED subject to condition(s),GRANTED subject to condition(s),1341505536.0,0,0,169524,11,BS4 2NZ
1215,169625,11/05429/H,8 Priory RoadKnowleBristolBS4 2NF,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-275061760.0,0,0,169625,11,BS4 2NF
1220,169637,12/00050/F,68 Broomhill RoadBristolBS4 4SD,Installation of a new AC condensing unit and the replacement of existing manual entrance doors with new auto sliding units.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1743861760.0,0,0,169637,12,BS4 4SD
1229,169714,11/04752/F,1 Winchester RoadBristolBS4 3NF,Change of use of commercial premises to new one bedroomed house & associated works.,GRANTED subject to condition(s),GRANTED subject to condition(s),736705536.0,0,0,169714,11,BS4 3NF
1234,169722,11/05072/H,229 Wick RoadBristolBS4 4HR,Single storey rear extension with raised decking area.,GRANTED subject to condition(s),GRANTED subject to condition(s),761738240.0,0,0,169722,11,BS4 4HR
1239,169732,11/05196/H,46 Calcott RoadBristolBS4 2HD,Rear single storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1082305536.0,0,0,169732,11,BS4 2HD
1242,169737,11/05203/F,86 Birchwood RoadBristolBS4 4QN,Attached 1 No. 3 bed. dwelling house with off street parking within curtilage of property.,GRANTED subject to condition(s),GRANTED subject to condition(s),995905536.0,0,0,169737,11,BS4 4QN
1249,169746,12/00105/F,11 Clothier RoadBristolBS4 5PS,Retention of  Vehicle repair and spraying use. (Planning Use Class  B2),GRANTED subject to condition(s),GRANTED subject to condition(s),848138240.0,0,0,169746,12,BS4 5PS
1258,169819,12/00163/FB,Ilminster Avenue Specialist Childrens CentreIlminster AvenueBristolBS4 1BX,"Proposed babies external play area, canopy, soft play and fencing.",GRANTED subject to condition(s),GRANTED subject to condition(s),-188661760.0,0,0,169819,12,BS4 1BX
1259,169820,12/00161/FB,Ilminster Avenue Specialist Nursery SchoolIlminster AvenueBristolBS4 1BX,Proposed extension to Sen Classroom 5,GRANTED subject to condition(s),GRANTED subject to condition(s),-275061760.0,0,0,169820,12,BS4 1BX
1265,169833,12/00164/H,28 Belroyal AvenueBristolBS4 4RT,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),416138240.0,0,0,169833,12,BS4 4RT
1268,169839,12/00242/H,1 Cleeve RoadBristolBS4 2JR,First floor extension to rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),848138240.0,0,0,169839,12,BS4 2JR
1303,170036,12/00388/H,76 Talbot RoadBristolBS4 2NT,Rear detached domestic garage to replace existing.,GRANTED subject to condition(s),GRANTED subject to condition(s),1366538240.0,0,0,170036,12,BS4 2NT
1314,170126,11/05428/R,1 Green WalkBristolBS4 2SY,Extension of time for planning permission 08/05036/F - Conversion of existing house into 2no. one bedoom flats and the erection of a  two storey extension to accommodate a 1 no. one bedroom dwellinghouse. Provision of 3no. off street car parking spaces and bin/cycle storage facilities,GRANTED subject to condition(s),GRANTED subject to condition(s),-1546029056.0,0,0,170126,11,BS4 2SY
1321,170205,11/04529/H,Gordon House101 Hampstead RoadBristolBS4 3HW,Proposed single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),156938240.0,0,0,170205,11,BS4 3HW
1322,170208,11/04833/A,Unit 7Brislington Retail ParkBath RoadBrislingtonBristolBS4 5NG,"1 number contour sign mounted on to an aluminium tray, illuminated via LED loom and 3 number estate panels fixed to existing goal post estate signage positioned at road side non illuminated.",GRANTED subject to condition(s),GRANTED subject to condition(s),-904894464.0,0,0,170208,11,BS4 5NG
1323,170210,11/04934/A,809-811 Bath RoadBrislingtonBristolBS4 5NL,1 X Internally Illuminated Medium Pylon; 1 X Internally Illuminated Medium Entrance Clip; 2 X Internally Illuminated Medium Secondary Clips;3 X Internally Illuminated Secondery Clips;  2 X Non Illuminated Direction Signs; 1 X Non Illuminated Mounted Fascia Sign,GRANTED subject to condition(s),GRANTED subject to condition(s),-386494464.0,0,0,170210,11,BS4 5NL
1330,170227,11/05263/H,68 Harrow RoadBristolBS4 3NB,Proposed conservatory and first floor rear bedroom extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1427905536.0,0,0,170227,11,BS4 3NB
1368,170409,11/05089/F,Knowle ClinicBroadfield RoadBristolBS4 2UH,Installation of new cycle shelter.,GRANTED subject to condition(s),GRANTED subject to condition(s),736705536.0,0,0,170409,11,BS4 2UH
1390,170507,12/00212/F,29 Somerdale AvenueBristolBS4 2XN,Converison of existing house into 2 flats and the construction of a two storey side extension comprising of two flats and a single storey rear extension,GRANTED subject to condition(s),GRANTED subject to condition(s),1280138240.0,0,0,170507,12,BS4 2XN
1457,171706,11/04790/H,9 Ellesmere RoadBristolBS4 5DY,Construction of single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1509694464.0,0,0,171706,11,BS4 5DY
1490,172092,11/04532/F,60 Bayham RoadBristolBS4 2DR,"Erection of 1 no. 1-bedroom dwelling with associated amenity space, bin and cycle storage, on land to the rear of No 60 Bayham Road with access from Calcott Road.",GRANTED subject to condition(s),GRANTED subject to condition(s),-361461760.0,0,0,172092,11,BS4 2DR
1536,172489,11/04588/F,Knowle Park Post Office29 The SquareKnowleBristolBS4 2SR,Installation of a Automated Teller Machine.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1077694464.0,0,0,172489,11,BS4 2SR
1539,172494,11/04717/F,85 Eastwood RoadBristolBS4 4RR,"Construct a new, two bed 'chalet' style house in the rear garden with private garden and parking.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1596094464.0,0,0,172494,11,BS4 4RR
1550,172573,11/03415/FB,Knowle DGE/Early Years Centre Leinster AvenueBristolBS4 1NN,Alteration to  parking provision at the Early Years Centre - 14 existing bays will be remarked into 10 bays and  10 additional bays will be created and associated footway.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1546029056.0,0,0,172573,11,BS4 1NN
1559,172689,11/04573/F,212 Broomhill RoadBristolBS4 5RW,Removal of an existing fence line of 42.6m which follows the contours of a public footpath. Currently in a poor state of repair in the north east corner of Hulbert Close and replace the fencing with 2.4 m triple point galvanised Palisade Security fencing. ,GRANTED subject to condition(s),GRANTED subject to condition(s),-1423294464.0,0,0,172689,11,BS4 5RW
1588,172875,11/04640/H,27 Queensdale CrescentBristolBS4 2TW,Erection of a two storey and single storey rear extension with a conservatory.,GRANTED subject to condition(s),GRANTED subject to condition(s),-904894464.0,0,0,172875,11,BS4 2TW
1590,172879,11/04642/F,Unit 7Carrick Business CentreBonville RoadBristolBS4 5NZ,"Alterations to front elevation of Unit 7, to include the replacement of the existing vehicle sliding door using an enlarged up-and-over, sectional roller shutter door.",GRANTED subject to condition(s),GRANTED subject to condition(s),1600705536.0,0,0,172879,11,BS4 5NZ
1593,172892,11/04797/H,80 Jersey AvenueBristolBS4 4QZ,Two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-991294464.0,0,0,172892,11,BS4 4QZ
1599,172912,11/05408/H,74 Pendennis ParkBristolBS4 4JN,Install 100mm thick external wall insulation with render finish to rear wall only of the property from above the level of the roof of the single storey kitchen extension to the gutter line.,GRANTED subject to condition(s),GRANTED subject to condition(s),-188661760.0,0,0,172912,11,BS4 4JN
1604,172974,11/04664/F,J Sainsbury SupermarketSt Philips CausewayBristolBS4 3BD,Conversion and extension of mezzanine floor to enable relocation of customer restaurant and other facilities. Erection of new entrance lobby to north west elevation and two storey side extension to north east elevation to store. Extend building on Eastern corner to accommodate lift. Insert glazing to mezzanine restaurant. Alterations to car park layout including provision of community transport bus lay-by.,GRANTED subject to condition(s),GRANTED subject to condition(s),761738240.0,0,0,172974,11,BS4 3BD
1642,173195,11/04870/A,ITV WestBath RoadBrislingtonBristolBS4 3HG,New signage to 2no. existing signage pylons. 2no. new logos to roof level plant enclosure.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1077694464.0,0,0,173195,11,BS4 3HG
1684,173400,11/05421/F,St Brendans Sixth Form CollegeBroomhill RoadBristolBS4 5RQ,"The construction of a new common room and associated teaching accommodation, to replace existing temporary accommodation.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1516138496.0,0,0,173400,11,BS4 5RQ
1691,173468,11/05104/H,38 Norton RoadBristolBS4 2HA,Proposed single storey side & rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1427905536.0,0,0,173468,11,BS4 2HA
1714,173564,11/04487/F,Land Adjoining 48 Savoy RoadBristolBS4 3SY,"Construction of 3 no. 2 bed apartments and associated demolition of rear garage and formation of ancillary parking, secure bike storage and mini recycling refuse store.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1755163648.0,0,0,173564,11,BS4 3SY
1718,173570,11/04928/H,14 Haverstock RoadBristolBS4 2BZ,Proposed single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-386494464.0,0,0,173570,11,BS4 2BZ
1725,173586,11/05318/F,47 Filwood BroadwayBristolBS4 1JL,Change of use from retail (Use Class A2 ) to Use Class A5 use to enable operation of new Hot Food Take-away.,GRANTED subject to condition(s),GRANTED subject to condition(s),329738240.0,0,0,173586,11,BS4 1JL
1729,173596,12/00173/H,77 Harrow RoadBristolBS4 3NB,"Proposed two storey, side extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),329738240.0,0,0,173596,12,BS4 3NB
1739,173679,11/04846/R,46 Hungerford GardensBristolBS4 5HB,Extend the time limit for implementation of planning approval 08/04169/H - Construction of a two-storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1336894464.0,0,0,173679,11,BS4 5HB
1761,173791,12/00452/H,21 Glenarm RoadBristolBS4 4LW,"Proposed two storey,side, granny-annex, one storey rear extension and detached garage.",GRANTED subject to condition(s),GRANTED subject to condition(s),2057738240.0,0,0,173791,12,BS4 4LW
1775,173875,12/00256/X,Former St Peters HospiceSt Agnes AvenueBristolBS4 2DU,"Variation of Condition 6 and deletion of Condition 14 both attached to planning permission 11/03086/F - Demolition of existing redundant Hospice buildings and erection of 14 no. 2, 3 and 4-bedroom houses, together with parking, garaging and amenity areas. (Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),95570944.0,0,0,173875,12,BS4 2DU
1791,173992,12/00279/X,Former St Peters HospiceSt Agnes AvenueBristolBS4 2DU,"Variation to condition 22 of Planning Permission 11/03086/F - Demolition of existing redundant Hospice buildings and erection of 14 no. 2, 3 and 4 bedroom houses, together with parking, garaging and amenity areas. (Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),95570944.0,0,0,173992,12,BS4 2DU
1800,174056,12/01698/FB,St Annes Infant SchoolBloomfield RoadBristolBS4 3QJ,Installation of a Portakabin single Classroom building to be hired from Portakabin Ltd for a period of 18 months. ,GRANTED subject to condition(s),GRANTED subject to condition(s),-916196352.0,0,0,174056,12,BS4 3QJ
1808,174076,12/04302/H,51 St Davids CrescentBristolBS4 4BY,Removal of existing rear conservatory and proposed replacement with new single storey kitchen/dining room extension including new ground floor bathroom.,GRANTED subject to condition(s),GRANTED subject to condition(s),973301760.0,0,0,174076,12,BS4 4BY
1846,174165,12/03443/H,58 Broadfield RoadBristolBS4 2UL,Single storey rear extension to kitchen/dining areas and incorporating a store area to the side..,GRANTED subject to condition(s),GRANTED subject to condition(s),-1211730944.0,0,0,174165,12,BS4 2UL
1912,174296,12/00882/H,58 Broadfield RoadBristolBS4 2UL,Single storey rear extension to kitchen/dining areas and incorporating a store area.,GRANTED subject to condition(s),GRANTED subject to condition(s),552603648.0,0,0,174296,12,BS4 2UL
1933,174355,12/04259/H,61 SpringleazeBristolBS4 2TY,Single storey side extension and side porch.,GRANTED subject to condition(s),GRANTED subject to condition(s),-149898240.0,0,0,174355,12,BS4 2TY
