OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1
23168,96/00525/F,"12/14 Filwood Broadway, Filwood, Bristol. BS4 1JN",Siting of external air handling equipment to rear of property.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,23168
23777,92/00909/L,"Hillsborough FlatsHotwell RoadHotwellsBristolBS8 4SP",Demolition of part of brick boundary wall at junction of Clifton Vale and Hotwell Road.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,23777
25018,95/02431/F,"143/145 Gloucester Road, Bishopston, Bristol.",Alterations to shop front to provide access to 1st floor flat and alterations to front and rear elevations.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,25018
26992,93/02438/L,"2nd Floor Flat, 31 Royal York Crescent, Clifton, Bristol.    BS8 4JU",Removal of partition wall & blocking up of one doorway to return front half of property to its original state.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,26992
27319,93/00656/L,"St Nicholas Markets, Corn Street, . Bristol.",Signs surrounding market area. *,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,27319
29750,92/01438/H,"63 Laurie CrescentHenleazeBristolBS9 4SZ",Two storey side extension: Garage with bedrooms over.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,29750
32118,84/01674/F,"6 St James Barton RoundaboutBristolBS1 3LT",Installation of new shop front.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,32118
32119,84/01676/M,"17 Forest RoadBristolBS16 3XH",Chalet bungalow.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,32119
32120,84/01678/H,"108 Bedminster Down RoadBristolBS13 7AF","Demolish existing wash house at rear of dwelling, raise level and build new kitchen extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,32120
35727,92/02025/L,"3 Great George StreetCity CentreBristolBS1 5RR",The fitting of new handrails to the railings outside the front entrance to the office and to internal staircase.*,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,35727
46633,96/01229/H,"46 EastfieldHenleazeBristolBS9 4BE",Erection of conservatory. (Amendment to Application No: 0761H/93N & 0784L/93N).,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,46633
50159,96/00987/L,"12 Cornwallis CrescentCliftonBristolBS8 4PL",Replacement of non original balustrade. Repair and re- render wall. New gate and reconstituted paving slabs.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,50159
52836,93/00805/L,"89 Ashley RoadMontpelierBristolBS6 5NR",The erection of 1 no. satellite T.V. reception dish (80 cms.).,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,52836
56459,93/02417/L,"48 Corn StreetCity CentreBristolBS1 1HQ",Internal fitting out for use as Travel Agency. Erect two externally illuminated projecting signs.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,56459
74891,97/00093/F,"10 Howard St. & former Bakery, Chester Road St George, Bristol.","Redevelopment of site for the erection of 27 houses and 1 apartment, together with garages/site road/landscaping.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,74891
88972,92/02214/F,"97/101 Jacob Street, . Bristol.","Erection of 4 Elliott portacabin units; Erection of 2.4 metre high brick wall with double gates.*",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,88972
94783,92/01584/P,"22/24 Tyndall Avenue, . Bristol.","Construct new laboratory and research facility for the Institute of Child Health, Bristol University.*",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,94783
96754,97/02915/F,"Unit 38 Broadwalk Shopping, 333 Wells Road, Knowle, Bristol.","Change of use from class A1 to estate agent,(Use Class A2)",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,96754
97399,96/01546/L,"The Council HouseCollege GreenCity CentreBristolBS1 5TR",Remove existing signs at either end of Council House ramp & replace with 2 signs,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,97399
100216,95/00136/H,"54 Imperial RoadKnowleBristolBS14 9ED",Proposed two storey side and single storey rear extensions.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,100216
100350,94/01282/L,"110 - 116 Cheltenham Road & 1A & 3AAshley RoadMontpelierBristol",Partial demolition of elements necessary in the interest of public safety. *,Pending Consideration,OBJECTIONS raised,,0,0,100350
100699,94/01067/L,"Zion HouseCoronation RoadSouthvilleBristolBS3 1AN",Erection of two 8m flagpoles inside perimeter fence to help identify the building as a City Council Area Office.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,100699
101322,97/00709/F,"Rivervale Veterinary Clinic 670-672 Muller Road, Horfield, Bristol.",Proposed alterations and extensions.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,101322
101323,97/00703/A,"Rivervale Veterinary Clinic 670-672 Muller Road, Horfield, Bristol",Illuminated replacement signage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,101323
102483,96/01176/F,"Memorial StadiumFilton AvenueHorfieldBristolBS7 0AQ","Erect ancillary buildings to provide toilets,turnstiles, office and refreshment facilities; steps and gates.*",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,102483
103157,94/00363/L,"110 - 116 Cheltenham Road & 1A & 3AAshley RoadMontpelierBristol",Partial demolition of structural elements necessary in the interest of public safety.*,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,103157
118655,95/10153/A/BDC,"Adjacent To Kwiksave Car ParkAvon RiversideSt Annes RoadBristol",Erection of Signboard,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,118655
118656,95/10154/U/BDC,"Land Adjacent To Plot 53, Avon Riverside",Installation of Foul Sewer Pumping Station Compound,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,118656
119282,94/10044/U/BDC,"Corker's Hill, St George",Construction of Retaining Wall and Steps at Plots 2 and 3,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,119282
119480,06/04297/F,"41 Paultow RoadBristolBS3 4PS","Conversion of existing house into 2 no. flats (ground floor flat with maisonette above), with single storey rear extension and detached shed for cycle storage.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,119480
119765,84/00237/U,"Cornwallis HouseCornwallis GroveBristolBS8 4PG","Removal of derelict workshop, greenhouse and wash house to grounds of Cornwallis House. Erection of screen fence and reinstatement of flower beds.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,119765
119766,84/00230/P,"Plot 213Alderman Moore AllotmentsAshton DriveBristol","Trading store 10 ft. x 15 ft. x 9 ft. high sloping to 7 ft. 6"" at rear to be built with 6"" concrete blocks, timbered roof covered with mineral felt set in hot bitumen.  This will replae the present wooden hut 10 ft. x 12 ft.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,119766
119773,84/00257/P,"Fallodon CourtFallodon WayBristolBS9 4HQ","39 leasehold flats for elderly people, 1 warden's flat and associated roads, pavements, external works and car parking.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,119773
119952,84/00079/P,"St Andrews RoadAvonmouthBristol","New control room and mess facility of steel frame construction, steel sheet roof, cavity brick walls and R.C foundation on piles.",GRANTED,GRANTED,,0,0,119952
120327,95/10050/U/BDC,Land North of Temple Meads Station,"Mixed Development and Up to 1,950 Car Spaces",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,120327
120333,95/10059/U/BDC,"Land North of Temple Meads Station, Temple Way","Mixed Development and Up to 1,950 Car Spaces",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,120333
127977,93/01146/L,"Cotham Grammar SchoolCotham Lawn RoadCothamBristolBS6 6DT",Demolition of existing stores (disused toilet block) and cycle shed.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,127977
131285,94/02597/L,"31 West MallCliftonBristolBS8 4BG",Replace existing roof tiles and asbestos slates with natural clay double roman tiles.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,131285
132316,93/01445/L,"7 Brunswick SquareSt PaulsBristolBS2 8PE",External repairs and minor alterations.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,132316
134574,84/03509/H,"14 Wimbledon RoadBristolBS6 7YA",First floor bedroom extension and internal alterations.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134574
134576,84/03518/H,"28 Selden RoadBristolBS14 8PP",Front porch,GRANTED,GRANTED,,0,0,134576
134577,84/03520/H,"5 Crantock AvenueBristolBS13 7QW",Garage,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134577
134578,84/03528/H,"59 Jersey AvenueBristolBS4 4QX",Extension to provide 2 bedrooms and W.C. in new roof over existing ground floor.,GRANTED,GRANTED,,0,0,134578
134580,84/03532/F,"59 Alma RoadBristolBS8 2DE",Erect 5 domestic garages in rear garden.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134580
134582,84/03537/A,"96 Gloucester RoadBishopstonBristolBS7 8BN",Wall mounted sign on side elevation illuminated by external neon.,GRANTED,GRANTED,,0,0,134582
134584,84/03541/F,"Carlyle Business Centre Corner Of Days Road &Queen Victoria StreetBristolBS2 0QR",Use as a tyre depot with ancillary fitting.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134584
134585,84/03542/T,"97 Ashley RoadBristolBS6 5NR",Erection of secondhand terrapin building for use as classrooms and related office facilities.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134585
134587,84/03545/H,"56 Barrow Hill CrescentBristolBS11 9RQ",Prefabricated garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134587
134759,84/03499/H,"34 Queensdale CrescentBristolBS4 2TW",Double storey rear dining room and bathroom extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134759
134772,84/03538/A,"51 St Lukes RoadBristolBS3 4RX",Internally illuminated projecting sign.,GRANTED,GRANTED,,0,0,134772
134773,84/03560/T,"St Gabriels RoadBristolBS5 0RT",Extend building for carpet sales.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134773
134774,84/03561/H,"30 Rookery WayBristolBS14 0DT",Single storey rear extension.,GRANTED,GRANTED,,0,0,134774
134775,84/03575/F,"Unit D-FMalago Vale Trading EstateSt Johns LaneBristolBS3 5BQ",Proposed erection of additional internal office space to serve units D and F as one unit.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134775
134776,84/03577/H,"25 Breach RoadBristolBS3 2BD",Demolition of existing kitchen and construction of single storey kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134776
134777,84/03579/H,"8 West Town LaneBristolBS4 5BN",Single Storey side kitchen extension.,GRANTED,GRANTED,,0,0,134777
134779,84/03583/A,"Muller RoadEastvilleBristol",Three internally illuminated canopy fascia signs.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134779
134780,84/03586/A,"17 - 31 Lower Ashley RoadSt PaulsBristolBS2 9QA",Poster advertising display (One 48 sheet panel),GRANTED,GRANTED,,0,0,134780
134781,84/03584/P,"Henleaze RoadHenleaze Bristol",Residential development.  Supercedes Notice Dated 1/2/85.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134781
134783,84/03588/F,"391 Gloucester RoadHorfieldBristolBS7 8TS",New shop front.,GRANTED,GRANTED,,0,0,134783
134784,84/03589/F,"12 Derby RoadBristolBS7 9AQ","Loft conversion, dormer to front and rear.",GRANTED,GRANTED,,0,0,134784
134786,84/03594/H,"9 Landseer AvenueBristolBS7 9YA",Attached garage and new vehicular access.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134786
134788,84/03596/L,"Temple Meads Station Retail Shop Platform 3Approach RoadBristol","Provision of entrances, fascias, signing and new window to shop.  New access to BR lift lobby.  Renewal entry doors.  Removal of barrier, ticket inspectors office and canopy.  New signing.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134788
134789,84/03597/F,"University Of Bristol Botany Greenhouse SiteMedical AvenueBristol",Erection of greenhouse.,GRANTED,GRANTED,,0,0,134789
134939,04/04350/H,"78 Wellington Hill WestBristolBS9 4SN","Erection of two storey rear extension, single storey rear conservatory, and car port.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134939
134969,84/03215/F,"116 Grosvenor RoadBristolBS2 8YA",Change of use from residential to office use.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134969
134970,84/03216/F,"40 Baldwin StreetBristolBS1 1NR",Re-alignment of car park barrier/wall to comply with Department of Environment appeal decision relating to 1320T/83C,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134970
134971,84/03240/H,"38 Longfield RoadBristolBS7 9AG",Re-build existing kitchen and shed.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134971
134972,84/03218/F,"233 Southmead RoadBristolBS10 5EL","Shop to provide photographic services (i.e portrait, wedding photography) sales of sundry items; developing and printing.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134972
134973,84/03241/L,"8 Rodney PlaceBristolBS8 4HY","New fenestration to rear elevation, lower ground floor extension, within plan area of upper ground floor internal alterations to partitioning.",GRANTED,GRANTED,,0,0,134973
134974,84/03247/H,"9 Clovelly RoadBristolBS5 7LR",Proposed single storey rear kitchen and dining room extension and garage and toilet.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134974
134975,84/03248/H,"20 Imperial RoadStockwoodBristolBS14 9ED","Single storey rear extension comprising utility area, cloakroom and conservatory.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134975
134976,84/03250/F,"Unit 8Third WayBristolBS11 9TP",Erection of brick screen wall to skip compound and derv tank.,GRANTED,GRANTED,,0,0,134976
134978,84/03446/H,"22 Edna AvenueBristolBS4 4LA",Single storey extension to living room to be used as a dining room.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134978
134979,84/03459/H,"36 Cote Lea ParkBristolBS9 4AH",Single storey garage extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134979
134981,84/03323/F,"227 Filton AvenueBristolBS7 0AY",Kitchen and toilet extension - detached garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134981
134983,84/03327/F,"79 Park StreetCity CentreBristolBS1 5PF","New shop front, renew roof structure and covering to single storey building, maintenance and fire precautions work.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134983
134984,84/03328/L,"79 Park StreetCity CentreBristolBS1 5PF","New shop front, renew roof structure and covering of single storey building, recover inner slopes of roof to main building and maintenance and fire precaution works.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134984
134985,84/03346/F,"ST Michaels ChurchSt Michaels HillKingsdownBristol",Conversion of existing crypt for use as premises for youth club.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134985
134987,84/03351/A,"Knole LaneBrentryBristol",Two non-illuminated freestanding developers boards.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134987
134988,84/03471/H,"48 York RoadEastonBristolBS5 6BJ",Insert deep strip foundation and rebuild flank wall. Change internal layout and demolish outbuildings. Erect wooden boundary fence as replacement for brick wall.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134988
134989,84/03358/A,"46 - 48 Old Market StreetBristolBS2 0EX",Poster advertising display.  (Two 48 sheet panels).,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134989
134990,84/03361/H,"5 Fitzroy TerraceBristolBS6 6TF",Unsafe front bay window and parapet wall to be taken down and rebuilt off of new foundation.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134990
134991,84/03362/L,"5 Fitzroy TerraceBristolBS6 6TF",Unsafe front bay window and parapet wall to be taken down and rebuilt off of new foundations.,GRANTED,GRANTED,,0,0,134991
134992,84/03364/F,"80 - 82 Brook RoadFishpondsBristolBS16 3SL",Replacement of existing precast concrete external walls with tradditional brick and blockwork and re-building porches.,GRANTED,GRANTED,,0,0,134992
134993,84/03366/F,"34 - 36 Belland DriveBristolBS14 0EW",Alterations to part of shopfront.,GRANTED,GRANTED,,0,0,134993
135196,84/03407/H,"112 Doncaster RoadBristolBS10 5PX",Proposed two storey extension.,GRANTED,GRANTED,,0,0,135196
135368,84/03554/A,"56 Stapleton RoadBristolBS5 0RB",Internally illuminated fascia sign.,GRANTED,GRANTED,,0,0,135368
135369,84/03556/H,"1A Nailsea CloseBristolBS13 7EH",Extension and construction of new external skin to existing garage and erection of 1st floor bedroom extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135369
135371,84/03558/H,"1 Elmcroft CrescentBristolBS7 9NF",Detached garage and garden store.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135371
135372,84/03559/F,"Aardman Animations LtdGasferry RoadBristolBS1 6UN",Removal of existing offices and other and erection of new building including ripening plant.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135372
135373,84/03604/F,"6 Clayton StreetAvonmouthBristolBS11 9AH","Change of use from offices to storage, offices, packing, dispatch and light assembly of signs (mixed Class X/lll with ancillary offices).",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135373
135393,84/03617/L,"Clic House11 - 12 Fremantle SquareBristolBS6 5TL",Use of both properties by CLIC to provide accommodation for parents and families of Oncology patients at the Bristol Childrens Hospital.,GRANTED,GRANTED,,0,0,135393
135395,84/03622/F,"4 Unity StreetCity CentreBristolBS1 5HH",1. Division of 1st floor front offices by semi-glazed partition.  2. Provision of kitchen to serve conference room.  3. Provision of access to existing safe for storage. 4. Glazed roof to existing courtyard.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135395
135396,84/03623/F,"18 Parson StreetBristolBS3 5PT",Replacement of roof with felted flat roof with rooflights and access.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135396
135397,84/03403/F,"Bradley HouseHigh StreetShirehamptonBristolBS11 0DE",Change of use from private dwelling to elderly persons home.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135397
135398,84/03428/A,"Outside 25/26St Augustines ParadeBristol",Two externally illuminated 4 sheet panels in each of two bus shelters.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135398
135399,84/03411/H,"31 Canford LaneBristolBS9 3DQ","Attached garage, conservatory and kitchen alteration.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,135399
136936,84/03326/F,"372 Hotwell RoadBristolBS8 4NT",Conversion of cellar to commercial kitchen.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136936
136937,84/03325/F,"82 Hotwell RoadBristolBS8 4UB",Change of use of ground floor only room retail shop to a mixed use comprising retail shop to front with office to rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136937
136939,84/03469/H,"260 Glenfrome RoadBristolBS5 6TR",Replacement garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136939
136940,84/03357/A,"BHS38 - 46 BroadmeadBristolBS1 3HB","Three sets of internally illuminated fascia lettering, two internally illuminated projecting signs, and internally illuminated sign over restaurant entrance.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136940
136942,84/03387/F,"The Happy CocksBamfieldBristolBS14 0AU",Entrance lobby on front elevation.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136942
136944,84/03475/F,"151 West StreetBedminsterBristolBS3 3PN","Alterations and extension to shop, also to flat over.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136944
136945,84/03474/L,"6 Victoria SquareBristolBS8 4EU",Internal alterations to form 2 bedroomed flat. Rear garden alterations to improve natural light.,GRANTED,GRANTED,,0,0,136945
136946,84/03400/H,"28 Clatworthy DriveBristolBS14 9RU",Reconstruction of external walls of airey house and 2 storey extension of traditional construction.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136946
136947,84/03402/F,"17 Belmont RoadMontpelierBristolBS6 5AW",Conservatory.,GRANTED,GRANTED,,0,0,136947
136948,84/03481/F,"17 Wellington CrescentBristolBS7 8SZ",To self contain existing flats and construct new bathroom facilities.,GRANTED,GRANTED,,0,0,136948
136949,84/03483/H,"Quarry House And Dysden HouseBroom HillBristolBS16 1DN",Erect a pair of garages.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136949
136950,84/03492/H,"91 Nibley RoadBristolBS11 9XP",Single storey side garage extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136950
136951,84/03493/H,"",Demolish existing garage and erect a similar garage in its place.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136951
137154,84/03225/H,"65 Allerton RoadBristolBS14 9PT",Single storey lounge extension at front of house.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137154
137155,84/03278/L,"61-63 Richmond RoadMontpelierBristolBS6 5EN","Remove complete 6 chimney stacks and reinstate roof as existing. The stacks are obsolete, and in dangerous condition.",GRANTED,GRANTED,,0,0,137155
137156,84/03231/H,"7 Ham LaneBristolBS16 1EE",Proposed garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137156
137157,84/03235/T,"27-29-31-33 Monmouth StreetBedminsterBristol",Lock up garages.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137157
137158,84/03237/H,"61 Swiss DriveBristolBS3 2RN",Conversion of existing roofspace for playroom.,GRANTED,GRANTED,,0,0,137158
137160,84/03479/F,"99 Henleaze RoadBristolBS9 4JP","Extension of use from retail shop to retail shop and cafe for consumption on the premises of coffee and snacks (e.g. croissants and pastries), microwave heating only, no cooking on site.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137160
137161,84/03488/F,"Station RoadMontpelierBristol",28 no. industrial units.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137161
137162,84/03496/H,"14 HaycombeBristolBS14 0AJ","Porch at front, single-storey rear kitchen extension, detached garage in rear garden.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137162
137163,84/03497/F,"167 Talbot RoadBristolBS4 2NZ",Residential rest home for the elderly.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137163
137335,84/03139/A,"The Bay Horse1 Lewins MeadBristolBS1 2LJ",Externally illuminated decorative blind incorporating lettering.,GRANTED,GRANTED,,0,0,137335
137336,84/03206/F,"Chesham HouseSouthville RoadBristolBS3 1DG",Permission to extend light industrial use into adjoining building (store).,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137336
137337,84/03208/F,"Fifth WayAvonmouothBristol",Commercial vehicle workshop and sales unit.  Commercial section - single storey: Offices - 2 Storey.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137337
137338,84/03212/F,"Brislington Trading EstateBath RoadBristol","Erection of a pre-fabricated concrete, 'Marley Flamestor' for storage purposes and a portacabin as a staff rest room, both for a temporary period of one year.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137338
137536,84/03301/H,"50 Falcondale RoadBristolBS9 3JY",Rear kitchen extension.,GRANTED,GRANTED,,0,0,137536
137537,84/03314/F,"Athletic ClubWest Town LaneBristolBS14 9EA","Squash courts and snooker hall extensions, together with alterations to the existing Club room, and additional car parking, modification of existing access and formation of new access onto West Town Lane.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137537
137539,84/03315/F,"21 Ashton Vale RoadAshtonBristol",Proposed new entrance and sash.,GRANTED,GRANTED,,0,0,137539
137540,84/03317/F,"130 Four AcresBristolBS13 8RE",Alterations to existing glazed screen to front of building to be replaced with new glazed aluminium screen flush with front face of building.,GRANTED,GRANTED,,0,0,137540
137542,84/03443/L,"61 Alma RoadBristolBS8 2DW",Demolition of existing porch (unsafe) and erection of new porch.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137542
137543,84/03444/F,"101 - 105 The HorsefairBristolBS1 3JR","Change of use to restaurant with ancillary storage, staff and office facilities.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137543
137545,84/03329/H,"41 Bellevue CrescentBristolBS8 4TF",Single storey rear kitchen extension after demolition of existing structures.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137545
137546,84/03461/F,"103-141 Crews Hole RoadBristolBS5 8AY",Construction of five industrial nursery units together with courtyards and parking areas.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137546
137547,84/03478/P,"Sports GroundCoombe LaneBristolBS9 2BJ",Provision of artificial grass all-weather playing surface with associated fencing and floodlighting.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137547
137548,84/03343/A,"Westframe Construction Site OfficeFifth WayBristolBS11 8DT",Non-illuminated lettering.,GRANTED,GRANTED,,0,0,137548
137549,84/03378/T,"Kingsweston LandfillKings Weston LaneSt Andrews RoadLawrence WestonBristolBS11 8HT",Terrapin office - Acid Plant.,GRANTED,GRANTED,,0,0,137549
137874,84/04262/H,"80 Kings DriveBristolBS7 8JH",Extension to existing kitchen at rear. Removal of lean-to at rear. Construction of terrace at rear. Proposed extension over existing garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137874
